cleaned_transcriptions,bpe_8000,unigram_2000,human,char_8000
"ya1 kan4 ku3u3=ra2 ji'4in(4)=a2 kan4 tan3, nda13-ndi3ko4 na1 kan4 ndi4","▁ya 1 ▁kan 4 ▁ku 3 u 3= ra 2 ▁ji '4 in (4)= a 2 ▁kan 4 ▁tan 3, ▁nda 13- ndi 3 ko 4 ▁na 1 ▁kan 4 ▁ndi 4","▁ya 1 ▁kan 4 ▁ku 3 u 3= ra 2 ▁ji '4 in (4)= a 2 ▁kan 4 ▁tan 3, ▁nda 13- ndi 3 ko 4 ▁na 1 ▁kan 4 ▁ndi 4","ya1kan4ku3u3 ra2ji'4in(4) a2kan4tan3,nda13ndi3ko4na1kan4ndi4","▁ y a 1 ▁ k a n 4 ▁ k u 3 u 3 = r a 2 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ k a n 4 ▁ t a n 3 , ▁ n d a 1 3 - n d i 3 k o 4 ▁ n a 1 ▁ k a n 4 ▁ n d i 4"
"ya1 kwa'1an1=na1 i4xi4ko3=na2 ña'1a3 i3in3 ñu3u2 ka'4nu3 kan4 ndi4, xu'14un4 kwa'1a4 ba1xi3 ji'4in4 na1 kan4","▁ya 1 ▁kwa '1 an 1= na 1 ▁i 4 xi 4 ko 3= na 2 ▁ña '1 a 3 ▁i 3 in 3 ▁ñu 3 u 2 ▁ka '4 nu 3 ▁kan 4 ▁ndi 4, ▁xu '14 un 4 ▁kwa '1 a 4 ▁ba 1 xi 3 ▁ji '4 in 4 ▁na 1 ▁kan 4","▁ya 1 ▁kwa '1 an 1= na 1 ▁i 4 xi 4 ko 3= na 2 ▁ña '1 a 3 ▁i 3 in 3 ▁ñu 3 u 2 ▁ka '4 nu 3 ▁kan 4 ▁ndi 4, ▁xu '1 4 un 4 ▁kwa '1 a 4 ▁ba 1 xi 3 ▁ji '4 in 4 ▁na 1 ▁kan 4","ya1kwa'1an1 na1i4xi4ko3 na2ña'1a3i3in3ñu3u2ka'4nu3kan4ndi4,xu'14un4kwa'1a4ba1xi3ji'4in4na1kan4","▁ y a 1 ▁ k w a ' 1 a n 1 = n a 1 ▁ i 4 x i 4 k o 3 = n a 2 ▁ ñ a ' 1 a 3 ▁ i 3 i n 3 ▁ ñ u 3 u 2 ▁ k a ' 4 n u 3 ▁ k a n 4 ▁ n d i 4 , ▁ x u ' 1 4 u n 4 ▁ k w a ' 1 a 4 ▁ b a 1 x i 3 ▁ j i ' 4 i n 4 ▁ n a 1 ▁ k a n 4"
"ki3xa2a2=na1 be'3e3=na2 ji'4in(4)=a2 tan3, ya1 chi1tun3=ra2 ndi4","▁ki 3 xa 2 a 2= na 1 ▁be '3 e 3= na 2 ▁ji '4 in (4)= a 2 ▁tan 3, ▁ya 1 ▁chi 1 tun 3= ra 2 ▁ndi 4","▁ki 3 xa 2 a 2= na 1 ▁be '3 e 3= na 2 ▁ji '4 in (4)= a 2 ▁tan 3, ▁ya 1 ▁chi 1 tun 3= ra 2 ▁ndi 4","ki3xa2a2 na1be'3e3 na2ji'4in(4) a2tan3,ya1chi1tun3 ra2ndi4","▁ k i 3 x a 2 a 2 = n a 1 ▁ b e ' 3 e 3 = n a 2 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ t a n 3 , ▁ y a 1 ▁ c h i 1 t u n 3 = r a 2 ▁ n d i 4"
xi'4in4 mi3i4=ra2 ndo1o3 ndi'3i3 xu'14un4 kan4 sa3kan4 ndi4 ki3xa2a(2)=e2 kum3pa4ri2=ra1 kan4,▁xi '4 in 4 ▁mi 3 i 4= ra 2 ▁ndo 1 o 3 ▁ndi '3 i 3 ▁xu '14 un 4 ▁kan 4 ▁sa 3 kan 4 ▁ndi 4 ▁ki 3 xa 2 a (2)= e 2 ▁kum 3 pa 4 ri 2= ra 1 ▁kan 4,▁xi '4 in 4 ▁mi 3 i 4= ra 2 ▁ndo 1 o 3 ▁ndi '3 i 3 ▁xu '1 4 un 4 ▁kan 4 ▁sa 3 kan 4 ▁ndi 4 ▁ki 3 xa 2 a (2)= e 2 ▁ku m 3 pa 4 ri 2= ra 1 ▁kan 4,xi'4in4mi3i4 ra2ndo1o3ndi'3i3xu'14un4kan4sa3kan4ndi4ki3xa2a(2) e2kum3pa4ri2 ra1kan4,▁ x i ' 4 i n 4 ▁ m i 3 i 4 = r a 2 ▁ n d o 1 o 3 ▁ n d i ' 3 i 3 ▁ x u ' 1 4 u n 4 ▁ k a n 4 ▁ s a 3 k a n 4 ▁ n d i 4 ▁ k i 3 x a 2 a ( 2 ) = e 2 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ k a n 4
"ni'14i14=a2 ya1 ko3ndo3 nu14u(3)=a2 nda3-xa2a2=e2 be'3e3, xa4i3ni2=ra1 ya1 ko4ndo3 ya1 chi1tun3 a3sa3=ra2 ji'4in(4)=a2 nda'4bi2 ña1a4","▁ni '14 i 14= a 2 ▁ya 1 ▁ko 3 ndo 3 ▁nu 14 u (3)= a 2 ▁nda 3- xa 2 a 2= e 2 ▁be '3 e 3, ▁xa 4 i 3 ni 2= ra 1 ▁ya 1 ▁ko 4 ndo 3 ▁ya 1 ▁chi 1 tun 3 ▁a 3 sa 3= ra 2 ▁ji '4 in (4)= a 2 ▁nda '4 bi 2 ▁ña 1 a 4","▁ni '1 4 i 1 4= a 2 ▁ya 1 ▁ko 3 ndo 3 ▁nu 1 4 u (3)= a 2 ▁nda 3- xa 2 a 2= e 2 ▁be '3 e 3, ▁xa 4 i 3 ni 2= ra 1 ▁ya 1 ▁ko 4 ndo 3 ▁ya 1 ▁chi 1 tun 3 ▁a 3 sa 3= ra 2 ▁ji '4 in (4)= a 2 ▁nda '4 bi 2 ▁ña 1 a 4","ni'14i14 a2ya1ko3ndo3nu14u(3) a2nda3xa2a2 e2be'3e3,xa4i3ni2 ra1ya1ko4ndo3ya1chi1tun3a3sa3 ra2ji'4in(4) a2nda'4bi2ña1a4","▁ n i ' 1 4 i 1 4 = a 2 ▁ y a 1 ▁ k o 3 n d o 3 ▁ n u 1 4 u ( 3 ) = a 2 ▁ n d a 3 - x a 2 a 2 = e 2 ▁ b e ' 3 e 3 , ▁ x a 4 i 3 n i 2 = r a 1 ▁ y a 1 ▁ k o 4 n d o 3 ▁ y a 1 ▁ c h i 1 t u n 3 ▁ a 3 s a 3 = r a 2 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ n d a ' 4 b i 2 ▁ ñ a 1 a 4"
"tan3 ya1 ña1a4 ndi4 ka13-ndi4xa3 ba(3)=e2 ña1a4 tan3, ni1-xa1a1=na1 ñu3u2 ka'4nu3 kan4 ndi4 ni1-ndu3ku4=ra2 máscara","▁tan 3 ▁ya 1 ▁ña 1 a 4 ▁ndi 4 ▁ka 13- ndi 4 xa 3 ▁ba (3)= e 2 ▁ña 1 a 4 ▁tan 3, ▁ni 1- xa 1 a 1= na 1 ▁ñu 3 u 2 ▁ka '4 nu 3 ▁kan 4 ▁ndi 4 ▁ni 1- ndu 3 ku 4= ra 2 ▁máscara","▁tan 3 ▁ya 1 ▁ña 1 a 4 ▁ndi 4 ▁ka 13- ndi 4 xa 3 ▁ba (3)= e 2 ▁ña 1 a 4 ▁tan 3, ▁ni 1- xa 1 a 1= na 1 ▁ñu 3 u 2 ▁ka '4 nu 3 ▁kan 4 ▁ndi 4 ▁ni 1- ndu 3 ku 4= ra 2 ▁máscara","tan3ya1ña1a4ndi4ka13ndi4xa3ba(3) e2ña1a4tan3,ni1xa1a1 na1ñu3u2ka'4nu3kan4ndi4ni1ndu3ku4 ra2máscara","▁ t a n 3 ▁ y a 1 ▁ ñ a 1 a 4 ▁ n d i 4 ▁ k a 1 3 - n d i 4 x a 3 ▁ b a ( 3 ) = e 2 ▁ ñ a 1 a 4 ▁ t a n 3 , ▁ n i 1 - x a 1 a 1 = n a 1 ▁ ñ u 3 u 2 ▁ k a ' 4 n u 3 ▁ k a n 4 ▁ n d i 4 ▁ n i 1 - n d u 3 k u 4 = r a 2 ▁ m á s c a r a"
"ba1xi3=na2, ba1xi3 ndi3xi3=na2 i3chi4, i3kan4 ka4chi2=ra1 ji'4in4 kum3pa4ri2=ra1 ndi4","▁ba 1 xi 3= na 2, ▁ba 1 xi 3 ▁ndi 3 xi 3= na 2 ▁i 3 chi 4, ▁i 3 kan 4 ▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁kum 3 pa 4 ri 2= ra 1 ▁ndi 4","▁ba 1 xi 3= na 2, ▁ba 1 xi 3 ▁ndi 3 xi 3= na 2 ▁i 3 chi 4, ▁i 3 kan 4 ▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁ku m 3 pa 4 ri 2= ra 1 ▁ndi 4","ba1xi3 na2,ba1xi3ndi3xi3 na2i3chi4,i3kan4ka4chi2 ra1ji'4in4kum3pa4ri2 ra1ndi4","▁ b a 1 x i 3 = n a 2 , ▁ b a 1 x i 3 ▁ n d i 3 x i 3 = n a 2 ▁ i 3 c h i 4 , ▁ i 3 k a n 4 ▁ k a 4 c h i 2 = r a 1 ▁ j i ' 4 i n 4 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ n d i 4"
"kum3pa4ri2 ndi4 ba'1a3=ni42 ndi4, xa1 yo'4o4 ba1xi3 yo4o4 tan3","▁kum 3 pa 4 ri 2 ▁ndi 4 ▁ba '1 a 3= ni 42 ▁ndi 4, ▁xa 1 ▁yo '4 o 4 ▁ba 1 xi 3 ▁yo 4 o 4 ▁tan 3","▁ku m 3 pa 4 ri 2 ▁ndi 4 ▁ba '1 a 3= ni 4 2 ▁ndi 4, ▁xa 1 ▁yo '4 o 4 ▁ba 1 xi 3 ▁yo 4 o 4 ▁tan 3","kum3pa4ri2ndi4ba'1a3 ni42ndi4,xa1yo'4o4ba1xi3yo4o4tan3","▁ k u m 3 p a 4 r i 2 ▁ n d i 4 ▁ b a ' 1 a 3 = n i 4 2 ▁ n d i 4 , ▁ x a 1 ▁ y o ' 4 o 4 ▁ b a 1 x i 3 ▁ y o 4 o 4 ▁ t a n 3"
"yo'4o4 ba42 ni1kwa3a4 yo4o4 tan3 yo'4o4 ba42 na4 ndi3-ki3nde3e4 yo4o4 sa3kan4 ndi4, ki'3in3 tu3ku(3)=e4 i3chi4 ku'1un(1)=o4 tan3 nda3-xa2a2 yo4o4 be'3e3","▁yo '4 o 4 ▁ba 42 ▁ni 1 kwa 3 a 4 ▁yo 4 o 4 ▁tan 3 ▁yo '4 o 4 ▁ba 42 ▁na 4 ▁ndi 3- ki 3 nde 3 e 4 ▁yo 4 o 4 ▁sa 3 kan 4 ▁ndi 4, ▁ki '3 in 3 ▁tu 3 ku (3)= e 4 ▁i 3 chi 4 ▁ku '1 un (1)= o 4 ▁tan 3 ▁nda 3- xa 2 a 2 ▁yo 4 o 4 ▁be '3 e 3","▁yo '4 o 4 ▁ba 4 2 ▁ni 1 kwa 3 a 4 ▁yo 4 o 4 ▁tan 3 ▁yo '4 o 4 ▁ba 4 2 ▁na 4 ▁ndi 3- ki 3 nde 3 e 4 ▁yo 4 o 4 ▁sa 3 kan 4 ▁ndi 4, ▁ki '3 in 3 ▁tu 3 ku (3)= e 4 ▁i 3 chi 4 ▁ku '1 un (1)= o 4 ▁tan 3 ▁nda 3- xa 2 a 2 ▁yo 4 o 4 ▁be '3 e 3","yo'4o4ba42ni1kwa3a4yo4o4tan3yo'4o4ba42na4ndi3ki3nde3e4yo4o4sa3kan4ndi4,ki'3in3tu3ku(3) e4i3chi4ku'1un(1) o4tan3nda3xa2a2yo4o4be'3e3","▁ y o ' 4 o 4 ▁ b a 4 2 ▁ n i 1 k w a 3 a 4 ▁ y o 4 o 4 ▁ t a n 3 ▁ y o ' 4 o 4 ▁ b a 4 2 ▁ n a 4 ▁ n d i 3 - k i 3 n d e 3 e 4 ▁ y o 4 o 4 ▁ s a 3 k a n 4 ▁ n d i 4 , ▁ k i ' 3 i n 3 ▁ t u 3 k u ( 3 ) = e 4 ▁ i 3 c h i 4 ▁ k u ' 1 u n ( 1 ) = o 4 ▁ t a n 3 ▁ n d a 3 - x a 2 a 2 ▁ y o 4 o 4 ▁ b e ' 3 e 3"
"ka4chi2=ra1 ji'4in4 kum3pa4ri2=ra1 tan3, ya1 nda'4bi2 sa13ta4 máscara kan4","▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁kum 3 pa 4 ri 2= ra 1 ▁tan 3, ▁ya 1 ▁nda '4 bi 2 ▁sa 13 ta 4 ▁máscara ▁kan 4","▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁ku m 3 pa 4 ri 2= ra 1 ▁tan 3, ▁ya 1 ▁nda '4 bi 2 ▁sa 1 3 ta 4 ▁máscara ▁kan 4","ka4chi2 ra1ji'4in4kum3pa4ri2 ra1tan3,ya1nda'4bi2sa13ta4máscarakan4","▁ k a 4 c h i 2 = r a 1 ▁ j i ' 4 i n 4 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ t a n 3 , ▁ y a 1 ▁ n d a ' 4 b i 2 ▁ s a 1 3 t a 4 ▁ m á s c a r a ▁ k a n 4"
"tan3 kan4 ka4chi2=ra1 nda4ka1tu'4un4=ra2 ta1, ta1 kum3pa4ri2=ra1 ta1 ko14o3 máscara ni4-sa3ta4 kan4 ndi4","▁tan 3 ▁kan 4 ▁ka 4 chi 2= ra 1 ▁nda 4 ka 1 tu '4 un 4= ra 2 ▁ta 1, ▁ta 1 ▁kum 3 pa 4 ri 2= ra 1 ▁ta 1 ▁ko 14 o 3 ▁máscara ▁ni 4- sa 3 ta 4 ▁kan 4 ▁ndi 4","▁tan 3 ▁kan 4 ▁ka 4 chi 2= ra 1 ▁nda 4 ka 1 tu '4 un 4= ra 2 ▁ta 1, ▁ta 1 ▁ku m 3 pa 4 ri 2= ra 1 ▁ta 1 ▁ko 1 4 o 3 ▁máscara ▁ni 4- sa 3 ta 4 ▁kan 4 ▁ndi 4","tan3kan4ka4chi2 ra1nda4ka1tu'4un4 ra2ta1,ta1kum3pa4ri2 ra1ta1ko14o3máscarani4sa3ta4kan4ndi4","▁ t a n 3 ▁ k a n 4 ▁ k a 4 c h i 2 = r a 1 ▁ n d a 4 k a 1 t u ' 4 u n 4 = r a 2 ▁ t a 1 , ▁ t a 1 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ t a 1 ▁ k o 1 4 o 3 ▁ m á s c a r a ▁ n i 4 - s a 3 t a 4 ▁ k a n 4 ▁ n d i 4"
tan3 yo'4o1 tu3 tan3 ba14sa4 sa4ta24 tu(3)=un4 máscara ku3-ndi3ka2 nu14u(3)=un4,▁tan 3 ▁yo '4 o 1 ▁tu 3 ▁tan 3 ▁ba 14 sa 4 ▁sa 4 ta 24 ▁tu (3)= un 4 ▁máscara ▁ku 3- ndi 3 ka 2 ▁nu 14 u (3)= un 4,▁tan 3 ▁yo '4 o 1 ▁tu 3 ▁tan 3 ▁ba 1 4 sa 4 ▁sa 4 ta 2 4 ▁tu (3)= un 4 ▁máscara ▁ku 3- ndi 3 ka 2 ▁nu 1 4 u (3)= un 4,tan3yo'4o1tu3tan3ba14sa4sa4ta24tu(3) un4máscaraku3ndi3ka2nu14u(3) un4,▁ t a n 3 ▁ y o ' 4 o 1 ▁ t u 3 ▁ t a n 3 ▁ b a 1 4 s a 4 ▁ s a 4 t a 2 4 ▁ t u ( 3 ) = u n 4 ▁ m á s c a r a ▁ k u 3 - n d i 3 k a 2 ▁ n u 1 4 u ( 3 ) = u n 4
"ka4chi(2)=a2 nda'4bi2 i4xa3 chi1tun3=ra2 ji'4in4 kan4, nda4ka1tu'4un4=ra(2)=e2 kum3pa4ri2=ra1 ta1, ta1 i1ni4 kan4","▁ka 4 chi (2)= a 2 ▁nda '4 bi 2 ▁i 4 xa 3 ▁chi 1 tun 3= ra 2 ▁ji '4 in 4 ▁kan 4, ▁nda 4 ka 1 tu '4 un 4= ra (2)= e 2 ▁kum 3 pa 4 ri 2= ra 1 ▁ta 1, ▁ta 1 ▁i 1 ni 4 ▁kan 4","▁ka 4 chi (2)= a 2 ▁nda '4 bi 2 ▁i 4 xa 3 ▁chi 1 tun 3= ra 2 ▁ji '4 in 4 ▁kan 4, ▁nda 4 ka 1 tu '4 un 4= ra (2)= e 2 ▁ku m 3 pa 4 ri 2= ra 1 ▁ta 1, ▁ta 1 ▁i 1 ni 4 ▁kan 4","ka4chi(2) a2nda'4bi2i4xa3chi1tun3 ra2ji'4in4kan4,nda4ka1tu'4un4 ra(2) e2kum3pa4ri2 ra1ta1,ta1i1ni4kan4","▁ k a 4 c h i ( 2 ) = a 2 ▁ n d a ' 4 b i 2 ▁ i 4 x a 3 ▁ c h i 1 t u n 3 = r a 2 ▁ j i ' 4 i n 4 ▁ k a n 4 , ▁ n d a 4 k a 1 t u ' 4 u n 4 = r a ( 2 ) = e 2 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ t a 1 , ▁ t a 1 ▁ i 1 n i 4 ▁ k a n 4"
"ba'1a3 ba3 yu'1u1 ndi4 ja1 xi4ni2=na1 yu'1u1 ya1 kan4 ndi4, ko14o3 na4chu3 na4 sa3ta4 bi4 yu'1u1 ya1 máscara ku3-ndi3ka2 nu14u(3)=2 ndi4","▁ba '1 a 3 ▁ba 3 ▁yu '1 u 1 ▁ndi 4 ▁ja 1 ▁xi 4 ni 2= na 1 ▁yu '1 u 1 ▁ya 1 ▁kan 4 ▁ndi 4, ▁ko 14 o 3 ▁na 4 chu 3 ▁na 4 ▁sa 3 ta 4 ▁bi 4 ▁yu '1 u 1 ▁ya 1 ▁máscara ▁ku 3- ndi 3 ka 2 ▁nu 14 u (3)=2 ▁ndi 4","▁ba '1 a 3 ▁ba 3 ▁yu '1 u 1 ▁ndi 4 ▁ja 1 ▁xi 4 ni 2= na 1 ▁yu '1 u 1 ▁ya 1 ▁kan 4 ▁ndi 4, ▁ko 1 4 o 3 ▁na 4 chu 3 ▁na 4 ▁sa 3 ta 4 ▁bi 4 ▁yu '1 u 1 ▁ya 1 ▁máscara ▁ku 3- ndi 3 ka 2 ▁nu 1 4 u (3)= 2 ▁ndi 4","ba'1a3ba3yu'1u1ndi4ja1xi4ni2 na1yu'1u1ya1kan4ndi4,ko14o3na4chu3na4sa3ta4bi4yu'1u1ya1máscaraku3ndi3ka2nu14u(3) 2ndi4","▁ b a ' 1 a 3 ▁ b a 3 ▁ y u ' 1 u 1 ▁ n d i 4 ▁ j a 1 ▁ x i 4 n i 2 = n a 1 ▁ y u ' 1 u 1 ▁ y a 1 ▁ k a n 4 ▁ n d i 4 , ▁ k o 1 4 o 3 ▁ n a 4 c h u 3 ▁ n a 4 ▁ s a 3 t a 4 ▁ b i 4 ▁ y u ' 1 u 1 ▁ y a 1 ▁ m á s c a r a ▁ k u 3 - n d i 3 k a 2 ▁ n u 1 4 u ( 3 ) = 2 ▁ n d i 4"
ja1 ji4ni2 ba3 na1 ka1a3 yu'1u1 tan3 yo'4o1 ya1 xi14ni2=na1 yo'4o1 ndi4 i1yo3 ki3nda2a2=na(1)=e1 ba1xi3 ji'4in(4)=o4 ya1 kan4 ndi4 ya1 kan4 nda3si2 nu14u(3)=un4 ka4chi2=ra1 ji'4in(4)=a2 chi1,▁ja 1 ▁ji 4 ni 2 ▁ba 3 ▁na 1 ▁ka 1 a 3 ▁yu '1 u 1 ▁tan 3 ▁yo '4 o 1 ▁ya 1 ▁xi 14 ni 2= na 1 ▁yo '4 o 1 ▁ndi 4 ▁i 1 yo 3 ▁ki 3 nda 2 a 2= na (1)= e 1 ▁ba 1 xi 3 ▁ji '4 in (4)= o 4 ▁ya 1 ▁kan 4 ▁ndi 4 ▁ya 1 ▁kan 4 ▁nda 3 si 2 ▁nu 14 u (3)= un 4 ▁ka 4 chi 2= ra 1 ▁ji '4 in (4)= a 2 ▁chi 1,▁ja 1 ▁ji 4 ni 2 ▁ba 3 ▁na 1 ▁ka 1 a 3 ▁yu '1 u 1 ▁tan 3 ▁yo '4 o 1 ▁ya 1 ▁xi 1 4 ni 2= na 1 ▁yo '4 o 1 ▁ndi 4 ▁i 1 yo 3 ▁ki 3 nda 2 a 2= na (1)= e 1 ▁ba 1 xi 3 ▁ji '4 in (4)= o 4 ▁ya 1 ▁kan 4 ▁ndi 4 ▁ya 1 ▁kan 4 ▁nda 3 si 2 ▁nu 1 4 u (3)= un 4 ▁ka 4 chi 2= ra 1 ▁ji '4 in (4)= a 2 ▁chi 1,ja1ji4ni2ba3na1ka1a3yu'1u1tan3yo'4o1ya1xi14ni2 na1yo'4o1ndi4i1yo3ki3nda2a2 na(1) e1ba1xi3ji'4in(4) o4ya1kan4ndi4ya1kan4nda3si2nu14u(3) un4ka4chi2 ra1ji'4in(4) a2chi1,▁ j a 1 ▁ j i 4 n i 2 ▁ b a 3 ▁ n a 1 ▁ k a 1 a 3 ▁ y u ' 1 u 1 ▁ t a n 3 ▁ y o ' 4 o 1 ▁ y a 1 ▁ x i 1 4 n i 2 = n a 1 ▁ y o ' 4 o 1 ▁ n d i 4 ▁ i 1 y o 3 ▁ k i 3 n d a 2 a 2 = n a ( 1 ) = e 1 ▁ b a 1 x i 3 ▁ j i ' 4 i n ( 4 ) = o 4 ▁ y a 1 ▁ k a n 4 ▁ n d i 4 ▁ y a 1 ▁ k a n 4 ▁ n d a 3 s i 2 ▁ n u 1 4 u ( 3 ) = u n 4 ▁ k a 4 c h i 2 = r a 1 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ c h i 1
"ta1 chi1tun3 ku4u4 ta1 ña1a4, ku14ni2=ra1 ku'1un1 xu'14un4 ji'4in(4)=a2 nda'4bi2 kan4 ndi4, mi3i4=ra2 ku4u4 ta1 ko3o3 ba'1a3 ko3o3 ña'1a3=ra2 ko3o3","▁ta 1 ▁chi 1 tun 3 ▁ku 4 u 4 ▁ta 1 ▁ña 1 a 4, ▁ku 14 ni 2= ra 1 ▁ku '1 un 1 ▁xu '14 un 4 ▁ji '4 in (4)= a 2 ▁nda '4 bi 2 ▁kan 4 ▁ndi 4, ▁mi 3 i 4= ra 2 ▁ku 4 u 4 ▁ta 1 ▁ko 3 o 3 ▁ba '1 a 3 ▁ko 3 o 3 ▁ña '1 a 3= ra 2 ▁ko 3 o 3","▁ta 1 ▁chi 1 tun 3 ▁ku 4 u 4 ▁ta 1 ▁ña 1 a 4, ▁ku 1 4 ni 2= ra 1 ▁ku '1 un 1 ▁xu '1 4 un 4 ▁ji '4 in (4)= a 2 ▁nda '4 bi 2 ▁kan 4 ▁ndi 4, ▁mi 3 i 4= ra 2 ▁ku 4 u 4 ▁ta 1 ▁ko 3 o 3 ▁ba '1 a 3 ▁ko 3 o 3 ▁ña '1 a 3= ra 2 ▁ko 3 o 3","ta1chi1tun3ku4u4ta1ña1a4,ku14ni2 ra1ku'1un1xu'14un4ji'4in(4) a2nda'4bi2kan4ndi4,mi3i4 ra2ku4u4ta1ko3o3ba'1a3ko3o3ña'1a3 ra2ko3o3","▁ t a 1 ▁ c h i 1 t u n 3 ▁ k u 4 u 4 ▁ t a 1 ▁ ñ a 1 a 4 , ▁ k u 1 4 n i 2 = r a 1 ▁ k u ' 1 u n 1 ▁ x u ' 1 4 u n 4 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ n d a ' 4 b i 2 ▁ k a n 4 ▁ n d i 4 , ▁ m i 3 i 4 = r a 2 ▁ k u 4 u 4 ▁ t a 1 ▁ k o 3 o 3 ▁ b a ' 1 a 3 ▁ k o 3 o 3 ▁ ñ a ' 1 a 3 = r a 2 ▁ k o 3 o 3"
i4xa3=ra2 chi1tun3 ji'4in(4)=a2 ko4ndo3 kum3pa4ri2=ra1,▁i 4 xa 3= ra 2 ▁chi 1 tun 3 ▁ji '4 in (4)= a 2 ▁ko 4 ndo 3 ▁kum 3 pa 4 ri 2= ra 1,▁i 4 xa 3= ra 2 ▁chi 1 tun 3 ▁ji '4 in (4)= a 2 ▁ko 4 ndo 3 ▁ku m 3 pa 4 ri 2= ra 1,i4xa3 ra2chi1tun3ji'4in(4) a2ko4ndo3kum3pa4ri2 ra1,▁ i 4 x a 3 = r a 2 ▁ c h i 1 t u n 3 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ k o 4 n d o 3 ▁ k u m 3 p a 4 r i 2 = r a 1
"i3kan4 ka4chi(2)=a2, ka4chi2=ra1 ji'4in4 kum3pa4ri2=ra1 ndi4","▁i 3 kan 4 ▁ka 4 chi (2)= a 2, ▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁kum 3 pa 4 ri 2= ra 1 ▁ndi 4","▁i 3 kan 4 ▁ka 4 chi (2)= a 2, ▁ka 4 chi 2= ra 1 ▁ji '4 in 4 ▁ku m 3 pa 4 ri 2= ra 1 ▁ndi 4","i3kan4ka4chi(2) a2,ka4chi2 ra1ji'4in4kum3pa4ri2 ra1ndi4","▁ i 3 k a n 4 ▁ k a 4 c h i ( 2 ) = a 2 , ▁ k a 4 c h i 2 = r a 1 ▁ j i ' 4 i n 4 ▁ k u m 3 p a 4 r i 2 = r a 1 ▁ n d i 4"
"compadre, na4 yo3o3 ku4u(4)=a2 sa3kan4 ndi4","▁compadre , ▁na 4 ▁yo 3 o 3 ▁ku 4 u (4)= a 2 ▁sa 3 kan 4 ▁ndi 4","▁compadre , ▁na 4 ▁yo 3 o 3 ▁ku 4 u (4)= a 2 ▁sa 3 kan 4 ▁ndi 4","compadre,na4yo3o3ku4u(4) a2sa3kan4ndi4","▁ c o m p a d r e , ▁ n a 4 ▁ y o 3 o 3 ▁ k u 4 u ( 4 ) = a 2 ▁ s a 3 k a n 4 ▁ n d i 4"
"ku'1un1 ko1to(1)=on4 ndi4 i3in3 yu'3u4 xi1ni4 i4-ndu'3u4 kan4 ndi4, xu'14un4 ndi4ka2 ti1xin3=a2 ka4chi2=ra1 ji'4in(4)=a2 chi1","▁ku '1 un 1 ▁ko 1 to (1)= on 4 ▁ndi 4 ▁i 3 in 3 ▁yu '3 u 4 ▁xi 1 ni 4 ▁i 4- ndu '3 u 4 ▁kan 4 ▁ndi 4, ▁xu '14 un 4 ▁ndi 4 ka 2 ▁ti 1 xin 3= a 2 ▁ka 4 chi 2= ra 1 ▁ji '4 in (4)= a 2 ▁chi 1","▁ku '1 un 1 ▁ko 1 to (1)= on 4 ▁ndi 4 ▁i 3 in 3 ▁yu '3 u 4 ▁xi 1 ni 4 ▁i 4- ndu '3 u 4 ▁kan 4 ▁ndi 4, ▁xu '1 4 un 4 ▁ndi 4 ka 2 ▁ti 1 xin 3= a 2 ▁ka 4 chi 2= ra 1 ▁ji '4 in (4)= a 2 ▁chi 1","ku'1un1ko1to(1) on4ndi4i3in3yu'3u4xi1ni4i4ndu'3u4kan4ndi4,xu'14un4ndi4ka2ti1xin3 a2ka4chi2 ra1ji'4in(4) a2chi1","▁ k u ' 1 u n 1 ▁ k o 1 t o ( 1 ) = o n 4 ▁ n d i 4 ▁ i 3 i n 3 ▁ y u ' 3 u 4 ▁ x i 1 n i 4 ▁ i 4 - n d u ' 3 u 4 ▁ k a n 4 ▁ n d i 4 , ▁ x u ' 1 4 u n 4 ▁ n d i 4 k a 2 ▁ t i 1 x i n 3 = a 2 ▁ k a 4 c h i 2 = r a 1 ▁ j i ' 4 i n ( 4 ) = a 2 ▁ c h i 1"
